Correct, Wrong
ka, kaz	cka	mka	kga	yka	kba
hai, qhai	haoi	ghai	haiu	hmi	qai	yhai
mein, mvin	mqein	meint	mevn
par, tpar	apr	parj	rpar	epar	pavr
ke, kef	xke	kev	kte	keq
aur, auor	anur	tur	aqur	xur	jaur	acr
is, i	isv
ki, k	vki	kx
woh, nwoh	wmoh	wohd
aik, aink	aiko	aizk
se, sge	seb	seg	hse
tha, tca
ko, kco	kjo	fko	dko	kso	koc	kwo
nahi, nahie	nwahi
yeh, xyeh	pyeh	nyeh	ybeh	yth	yceh	yaeh	yevh
aap, aadp	fap
kya, cya	wkya
karna, jarna	kalna	karnxa	kqarna
bhi, bhij	mbhi	fbhi	brhi	hbi	bhpi	nbhi	cbhi
hain, haind	hrain	haian	haivn	fhain	hjin	haxn	oain	hasn
ne, neg	fne	e	ner	nep	nfe	nze	neb	nen	jne
to, toj	tgo	tqo	tmo
liye, liyex	lliye	liyl	liyeu	lwiye	miye
ho, hko	fho	qho	hoq	yho
terhan, xerhan	terhuan	teerhan	tersan	terhxn	tzrhan	teruhan	etrhan
kar, kwar	qar	kax	fkar	kag	kav	kacr	hkar
sath, saeth	satjh	savh	sahth	satyh	vsath
jis, jts	jiqs	jzs	jiz	jeis	njis	djis	jisq	jips	jhs
hi, lhi	fhi	hiz	hzi	hbi	hci	hif	phi
lekin, leikin	lekiq	lehkin	levkin	lekwn	lekign	lekiy	lpekin	lekion	lekqin
un, uon	uqn
hum, houm	humr	wum	hunm	dhum	huvm
kuch, kueh	kmch	buch	kuclh	kuchn
mujhe, musjhe	muvhe	mujvhe	mgujhe
raha, oraha	oaha	rwaha	rbha	ralha	rfaha	rlaha	ratha	rahua	rahfa
ya, yag	yaf	tya	yta	yav	y	zya	yaq	yac
sab, sjab	saub
ab, qb	qab	ayb	awb
jo, jog	jqo	kjo	xjo	jox	joz	jot	jdo	tjo
hona, honv	hvna	honaz	hpna
koi, koqi	kjoi	kqoi	kci
oopar, ooparg	oopanr	oopzr	oopawr	ooiar	oopgr	uoopar	oopabr	oyopar	oopat
mera, oera	merba	meda	meora	merva	merka	mkra	meaa
gaya, igaya	gyya	mgaya	gafya
sirf, dsirf	sibf	yirf	hsirf
sun, sunb	sul	suz	sujn	szn	seun
bohat, obohat	bdhat	baohat	bodhat	rohat	boohat	boghat	bonat
hwa, hwwa	jwa	hwag	hzwa
phir, phimr	phqir
me, mep	lme	mq	mde	meb	mle	fme	kme
kaha, kvha	kahma	kahpa	vkaha	paha	kbaha	ikaha
khush, jkhush	khugsh	khpsh	khuwsh	kfush	knhush	khumsh	khukh	khrush	khusqh
na, nxa	nfa	nca	naj	naq	nva	lna
ga, gsa
bahar, bahyr	banar	bahfar	bahxar	baear	bahars	oahar	bahrar	bahadr	bauar
agar, aegar	cgar	aogar	aear	agawr	agard	agas	ahgar	yagar
jab, jzab	xjab	vab	gjab	gab	jabc	jap	joab	jjb
thay, whay	mhay	thamy	ithay	twhay	thuay
karne, karpe	kmarne	ekarne
be, ybe
baat, lbaat	bvaat	uaat	braat	baalt	abat	bkat
diya, dwiya	duiya
hoga, hdga
waqt, wavqt
sakta, zsakta	sbkta	spkta	saktk	saktab	sakka
wala, rala	fwala	wkla	qwala	walsa	iwala	whla	walz
itna, itca
afsos, afsoc
do, dpo	dvo	dok
hon, hoyn	hons	vhon	hosn	yhon
dekh, dejh	gekh
tak, takl	tjk
dena, dqena	dwna	fdena
ye, yex	yce	yfe	yoe	yge	yde	yez	fye
he, hec	ohe	zhe	heu
